addresss,category,createdAt,descript,indicentId,location,objectId,pdDiscrict,pdId,resolution,timestamp,updatedAt,weight
800 Block of SUTTER ST,VANDALISM,2015-03-09T10:39:21.451Z,"MALICIOUS MISCHIEF, VANDALISM",156043615,GeoPoint|37.7884368260567|-122.414368110368,M43eMlUp3M,CENTRAL,15604361528150,NONE,Date|2015-02-22T21:30:00.000Z,2015-03-09T10:39:21.451Z,5
200 Block of PAUL AV,ASSAULT,2015-03-09T10:39:21.460Z,THREATS AGAINST LIFE,150161704,GeoPoint|37.7229041567607|-122.398034500753,I0ekVUrktQ,BAYVIEW,15016170419057,NONE,Date|2015-02-22T15:25:00.000Z,2015-03-09T10:39:21.460Z,10
200 Block of PAUL AV,TRESPASS,2015-03-09T10:39:21.468Z,TRESPASSING,150161704,GeoPoint|37.7229041567607|-122.398034500753,VMjWpyczlF,BAYVIEW,15016170427195,NONE,Date|2015-02-22T15:25:00.000Z,2015-03-09T10:39:21.468Z,4
SCOTT ST / BUSH ST,LARCENY/THEFT,2015-03-09T10:39:21.476Z,GRAND THEFT FROM LOCKED AUTO,156043273,GeoPoint|37.7863922340602|-122.438394869495,KfSRy5OIOQ,RICHMOND,15604327306244,NONE,Date|2015-02-22T15:00:00.000Z,2015-03-09T10:39:21.476Z,10
GEARY BL / CLEARY CT,LARCENY/THEFT,2015-03-09T10:39:21.483Z,GRAND THEFT FROM UNLOCKED AUTO,156043239,GeoPoint|37.7851513851678|-122.426449161534,FgjHXzNhuj,NORTHERN,15604323906224,NONE,Date|2015-02-22T10:00:00.000Z,2015-03-09T10:39:21.483Z,10
100 Block of JEFFERSON ST,LARCENY/THEFT,2015-03-09T10:39:21.491Z,GRAND THEFT FROM LOCKED AUTO,156043637,GeoPoint|37.8082613305439|-122.414988252591,bxsQEFcTw4,CENTRAL,15604363706244,NONE,Date|2015-02-22T09:35:00.000Z,2015-03-09T10:39:21.491Z,10
500 Block of MONTGOMERY ST,LARCENY/THEFT,2015-03-09T10:39:21.500Z,GRAND THEFT FROM LOCKED AUTO,156043643,GeoPoint|37.7940204426882|-122.402936610374,Fqzxu96lr0,CENTRAL,15604364306244,NONE,Date|2015-02-22T05:47:00.000Z,2015-03-09T10:39:21.500Z,10
POST ST / STOCKTON ST,LARCENY/THEFT,2015-03-09T10:39:21.508Z,GRAND THEFT FROM UNLOCKED AUTO,156043659,GeoPoint|37.7884982866148|-122.406775392392,PZZPjeAKh3,CENTRAL,15604365906224,NONE,Date|2015-02-22T04:00:00.000Z,2015-03-09T10:39:21.508Z,10
SANSOME ST / PACIFIC AV,LARCENY/THEFT,2015-03-09T10:39:21.516Z,GRAND THEFT FROM LOCKED AUTO,156043609,GeoPoint|37.7975048898339|-122.402042584193,EMRtXCEx8y,CENTRAL,15604360906244,NONE,Date|2015-02-21T23:11:00.000Z,2015-03-09T10:39:21.516Z,10
3RD ST / JERROLD AV,NON-CRIMINAL,2015-03-09T10:39:21.523Z,FOUND PROPERTY,150161986,GeoPoint|37.738741839511|-122.389310644607,upX2qeR3oP,BAYVIEW,15016198672000,NONE,Date|2015-02-21T22:00:00.000Z,2015-03-09T10:39:21.523Z,1
